# FinGuard Transaction Dataset — Generated automatically
# timestamp,transactionId,accountId,type,amount,location,deviceId
1708070451,TXN000001,ACC_FRAUD,DEBIT,123693.95,Mumbai,DEV_E5
1708070505,TXN000002,ACC303,DEBIT,38782.67,Bengaluru,DEV_G7
1708070542,TXN000003,ACC101,CREDIT,92013.45,Chennai,DEV_J0
1708070576,TXN000004,ACC404,CREDIT,80030.38,Delhi,DEV_A1
1708070587,TXN000005,ACC707,CREDIT,82770.62,Mumbai,DEV_F6
1708070601,TXN000006,ACC404,CREDIT,64718.59,Kolkata,DEV_J0
1708070637,TXN000007,ACC505,CREDIT,4110.41,Ahmedabad,DEV_F6
1708070658,TXN000008,ACC909,CREDIT,77183.99,Pune,DEV_A1
1708070680,TXN000009,ACC404,DEBIT,29873.99,Ahmedabad,DEV_J0
1708070695,TXN000010,ACC909,CREDIT,38464.44,Surat,DEV_F6
1708070709,TXN000011,ACC010,CREDIT,46274.39,Chennai,DEV_D4
1708070743,TXN000012,ACC101,CREDIT,4699.89,Kolkata,DEV_D4
1708070753,TXN000013,ACC505,CREDIT,28776.63,Jaipur,DEV_J0
1708070769,TXN000014,ACC010,DEBIT,48651.47,Chennai,DEV_J0
1708070800,TXN000015,ACC101,CREDIT,70286.01,Bengaluru,DEV_J0
1708070827,TXN000016,ACC606,CREDIT,29780.90,Bengaluru,DEV_G7
1708070879,TXN000017,ACC101,DEBIT,38061.58,Pune,DEV_F6
1708070928,TXN000018,ACC909,CREDIT,17920.82,Chennai,DEV_C3
1708070942,TXN000019,ACC303,DEBIT,31252.34,Bengaluru,DEV_C3
1708070951,TXN000020,ACC606,DEBIT,10176.59,Bengaluru,DEV_H8
1708070953,TXN000021,ACC404,DEBIT,48900.54,Kolkata,DEV_D4
1708070995,TXN000022,ACC101,DEBIT,14486.27,Hyderabad,DEV_B2
1708071016,TXN000023,ACC202,DEBIT,89510.24,Bengaluru,DEV_B2
1708071067,TXN000024,ACC606,CREDIT,36679.25,Mumbai,DEV_A1
1708071112,TXN000025,ACC505,CREDIT,38009.78,Delhi,DEV_I9
1708071149,TXN000026,ACC010,CREDIT,79797.39,Bengaluru,DEV_G7
1708071204,TXN000027,ACC606,DEBIT,17915.11,Pune,DEV_F6
1708071238,TXN000028,ACC707,DEBIT,30438.35,Jaipur,DEV_G7
1708071252,TXN000029,ACC505,DEBIT,96782.04,Surat,DEV_I9
1708071290,TXN000030,ACC303,CREDIT,1886.36,Delhi,DEV_E5
1708071299,TXN000031,ACC909,DEBIT,58762.70,Kolkata,DEV_F6
1708071343,TXN000032,ACC606,CREDIT,31757.67,Delhi,DEV_B2
1708071360,TXN000033,ACC404,DEBIT,38875.52,Kolkata,DEV_H8
1708071388,TXN000034,ACC707,DEBIT,1751.83,Surat,DEV_H8
1708071395,TXN000035,ACC707,DEBIT,26558.34,Delhi,DEV_A1
1708071407,TXN000036,ACC101,CREDIT,69195.51,Hyderabad,DEV_D4
1708071441,TXN000037,ACC606,CREDIT,85680.79,Surat,DEV_J0
1708071451,TXN000038,ACC101,DEBIT,51365.61,Pune,DEV_E5
1708071491,TXN000039,ACC707,DEBIT,86419.59,Kolkata,DEV_A1
1708071531,TXN000040,ACC707,CREDIT,52451.16,Pune,DEV_D4
1708071544,TXN000041,ACC808,DEBIT,85178.06,Mumbai,DEV_G7
1708071595,TXN000042,ACC101,CREDIT,4986.67,Jaipur,DEV_J0
1708071599,TXN000043,ACC606,CREDIT,55350.38,Delhi,DEV_D4
1708071606,TXN000044,ACC101,CREDIT,63321.31,Surat,DEV_D4
1708071612,TXN000045,ACC909,DEBIT,18149.34,Kolkata,DEV_E5
1708071626,TXN000046,ACC606,CREDIT,44728.37,Mumbai,DEV_H8
1708071635,TXN000047,ACC909,CREDIT,60686.55,Surat,DEV_B2
1708071689,TXN000048,ACC202,DEBIT,28845.59,Ahmedabad,DEV_G7
1708071721,TXN000049,ACC707,DEBIT,85259.94,Surat,DEV_E5
1708071730,TXN000050,ACC303,CREDIT,25685.44,Chennai,DEV_J0
1708071752,TXN000051,ACC_FRAUD,DEBIT,117101.45,Mumbai,DEV_J0
1708071770,TXN000052,ACC101,CREDIT,82490.01,Bengaluru,DEV_G7
1708071827,TXN000053,ACC101,CREDIT,88492.54,Hyderabad,DEV_B2
1708071874,TXN000054,ACC010,CREDIT,59470.31,Kolkata,DEV_F6
1708071887,TXN000055,ACC606,CREDIT,59045.15,Bengaluru,DEV_H8
1708071909,TXN000056,ACC303,CREDIT,63659.80,Mumbai,DEV_I9
1708071967,TXN000057,ACC707,CREDIT,50081.17,Bengaluru,DEV_A1
1708071991,TXN000058,ACC909,DEBIT,47042.45,Chennai,DEV_I9
1708072032,TXN000059,ACC202,DEBIT,76945.04,Ahmedabad,DEV_I9
1708072080,TXN000060,ACC404,DEBIT,46063.11,Mumbai,DEV_J0
